midiOut	cmdType	index	val	btnName
midiCmdPad	ctrl	105	0.09	CmdPadPrevSet
midiCmdPad	ctrl	106	0.09	CmdPadNextSet
midiCmdPad	ctrl	107	0.01	tabletOn
midiCmdPad	ctrl	108	0.13	videoAlphaOn
midiCmdPad	ctrl	109	0.04	stopVideo
midiCmdPad	ctrl	110	0.03	effectReset
midiCmdPad	ctrl	111	0.01	tabletOff
midiCmdPad	ctrl	112	0.1	seqModeSwitch
midiCmdPad	note	12	0.09	SyncBtnPrevSet
midiCmdPad	note	13	0.09	SyncBtnNextSet
midiMixerOut	note	26	1	effectPrevSet
midiMixerOut	note	27	1	effectNextSet
